Date,Open,High,Low,Close,Adj Close,Volume
01/08/2019,3.45,3.51,3.2,3.28,3.28,28758400
02/08/2019,3.21,3.33,3.16,3.27,3.27,17211300
05/08/2019,3.14,3.14,2.85,2.95,2.95,38736200
06/08/2019,3.09,3.14,3,3.08,3.08,23455700
07/08/2019,3.04,3.09,2.93,3.09,3.09,18090400
08/08/2019,3.13,3.26,3.11,3.17,3.17,20999800
09/08/2019,3.1,3.18,3.1,3.13,3.13,10610000
12/08/2019,3.05,3.11,2.96,3.05,3.05,14210700
13/08/2019,3,3.2,3,3.15,3.15,18541900
14/08/2019,3.08,3.08,2.88,2.9,2.9,28205900
15/08/2019,2.99,2.99,2.77,2.82,2.82,15736000
16/08/2019,2.89,3.01,2.86,2.95,2.95,15884200
19/08/2019,3,3.1,3,3,3,13657100
20/08/2019,3.06,3.21,3,3.16,3.16,16703100
21/08/2019,3.23,3.27,3.02,3.05,3.05,21513600
22/08/2019,3.06,3.09,3.01,3.02,3.02,12404300
23/08/2019,2.97,3.04,2.89,2.92,2.92,13584500
26/08/2019,2.95,2.95,2.83,2.9,2.9,14119000
27/08/2019,2.92,3,2.83,2.91,2.91,20392000
28/08/2019,2.9,2.92,2.83,2.84,2.84,10478000
29/08/2019,2.91,2.93,2.85,2.85,2.85,12325800
30/08/2019,2.9,2.91,2.84,2.86,2.86,8155400
03/09/2019,2.82,2.83,2.58,2.6,2.6,26854400
04/09/2019,2.7,2.75,2.64,2.75,2.75,15177900
05/09/2019,2.81,3,2.8,2.95,2.95,23244700
06/09/2019,2.99,3,2.87,2.98,2.98,14509300
09/09/2019,3,3.14,2.93,3.14,3.14,17386300
10/09/2019,3.13,3.33,3.07,3.32,3.32,20848800
11/09/2019,3.28,3.33,3.16,3.27,3.27,13619900
12/09/2019,3.24,3.27,3.1,3.19,3.19,10957800
13/09/2019,3.22,3.27,3.15,3.21,3.21,8371700
16/09/2019,3.15,3.21,3.09,3.12,3.12,12374900
17/09/2019,3.11,3.18,3,3.18,3.18,12905800
18/09/2019,3.21,3.21,3.03,3.08,3.08,12519200
19/09/2019,3.12,3.16,3.08,3.1,3.1,8733200
20/09/2019,3.14,3.16,3.02,3.04,3.04,11999300
23/09/2019,2.98,2.98,2.71,2.72,2.72,40356100
24/09/2019,2.22,2.24,1.97,2.17,2.17,122194400
25/09/2019,2.15,2.15,2.02,2.05,2.05,38938700
26/09/2019,2.05,2.06,1.9,1.96,1.96,50967800
27/09/2019,1.94,2,1.71,1.75,1.75,59824600
30/09/2019,1.72,1.73,1.53,1.56,1.56,58815600
01/10/2019,1.51,1.51,1.22,1.32,1.32,88123600
02/10/2019,1.19,1.65,1.19,1.59,1.59,98992700
03/10/2019,1.59,1.7,1.43,1.64,1.64,58630100
04/10/2019,1.6,1.69,1.56,1.62,1.62,25240300
07/10/2019,1.58,1.59,1.45,1.55,1.55,26893500
08/10/2019,1.73,1.8,1.66,1.7,1.7,47085000
09/10/2019,1.75,1.76,1.58,1.64,1.64,35848200
10/10/2019,1.64,1.64,1.5,1.53,1.53,33950800
11/10/2019,1.55,1.59,1.5,1.56,1.56,25648800
14/10/2019,1.56,1.57,1.52,1.53,1.53,12534600
15/10/2019,1.63,1.64,1.54,1.55,1.55,25901200
16/10/2019,1.46,1.52,1.4,1.46,1.46,40687000
17/10/2019,1.46,1.5,1.42,1.46,1.46,18373300
18/10/2019,1.45,1.55,1.44,1.52,1.52,21393400
21/10/2019,1.52,1.77,1.49,1.69,1.69,40155200
22/10/2019,1.7,1.77,1.52,1.58,1.58,38944000
23/10/2019,1.58,1.6,1.52,1.53,1.53,12246400
24/10/2019,1.57,1.6,1.53,1.54,1.54,21567700
25/10/2019,1.54,1.56,1.5,1.51,1.51,20444900
28/10/2019,1.43,1.5,1.38,1.48,1.48,32675500
29/10/2019,1.45,1.45,1.39,1.39,1.39,22312000
30/10/2019,1.42,1.45,1.36,1.43,1.43,20769100
31/10/2019,1.47,1.54,1.44,1.45,1.45,22381000
01/11/2019,1.49,1.55,1.49,1.52,1.52,17957200
04/11/2019,1.65,1.9,1.58,1.71,1.71,61083000
05/11/2019,1.88,2.38,1.8,2.34,2.34,183556700
06/11/2019,2.46,2.46,1.96,2.03,2.03,113933700
07/11/2019,2.11,2.2,2.05,2.07,2.07,39411800
08/11/2019,2.13,2.13,1.94,1.98,1.98,38341600
11/11/2019,1.9,1.96,1.78,1.86,1.86,34228400
12/11/2019,1.9,2.05,1.83,1.94,1.94,27818000
13/11/2019,1.9,1.99,1.85,1.9,1.9,24969400
14/11/2019,1.86,1.89,1.66,1.75,1.75,46683200
15/11/2019,1.75,1.84,1.66,1.8,1.8,32003800
18/11/2019,1.88,1.9,1.73,1.8,1.8,25996000
19/11/2019,1.78,1.89,1.78,1.83,1.83,26780800
20/11/2019,1.85,1.87,1.77,1.84,1.84,20728500
21/11/2019,1.87,2.04,1.82,1.98,1.98,41394200
22/11/2019,2.04,2.05,1.88,1.94,1.94,25152300
25/11/2019,1.99,2.12,1.96,2.05,2.05,36836400
26/11/2019,2.12,2.29,2.12,2.28,2.28,55122700
27/11/2019,2.32,2.5,2.28,2.46,2.46,77368600
29/11/2019,2.36,2.36,2.2,2.27,2.27,32640300
02/12/2019,2.35,2.44,2.3,2.44,2.44,32677500
03/12/2019,2.31,2.48,2.25,2.4,2.4,37865200
04/12/2019,2.42,2.58,2.41,2.42,2.42,46792900
05/12/2019,2.53,2.57,2.25,2.27,2.27,53235200
06/12/2019,2.32,2.34,2.2,2.26,2.26,31931900
09/12/2019,2.21,2.25,2.11,2.22,2.22,31542900
10/12/2019,2.2,2.28,2.14,2.27,2.27,25220200
11/12/2019,2.26,2.32,2.23,2.26,2.26,20342900
12/12/2019,2.3,2.33,2.26,2.27,2.27,22457900
13/12/2019,2.31,2.43,2.29,2.39,2.39,37228900
16/12/2019,2.44,2.55,2.39,2.48,2.48,36916800
17/12/2019,2.54,2.63,2.5,2.59,2.59,45654500
18/12/2019,2.58,2.67,2.54,2.63,2.63,31811100
